epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12349,1.24654,0.89605,0.89496,0.70594,0.83865,0.81758,0.48049,1.29859,1.05488,0.98217,9.996e-05,9.996e-05,9.996e-05
2,12.2764,1.21862,0.84915,0.84258,0.58263,0.82113,0.69812,0.39849,1.36993,1.03894,1.04429,0.000204783,0.000204783,0.000204783
3,17.2613,1.19634,0.86691,0.88227,0.6561,0.79722,0.73958,0.43944,1.38022,1.12922,1.03969,0.000305999,0.000305999,0.000305999
4,22.0743,1.22046,0.81769,0.83623,0.65815,0.83019,0.76687,0.43866,1.60552,0.99962,1.11054,0.00040361,0.00040361,0.00040361
5,26.8605,1.20577,0.86397,0.89089,0.71906,0.83568,0.81123,0.44694,1.61422,0.91135,1.19987,0.000497614,0.000497614,0.000497614
6,31.8007,1.2166,0.8585,0.88024,0.72797,0.85567,0.82611,0.44856,1.56386,0.89047,1.19284,0.000588013,0.000588013,0.000588013
7,36.6309,1.21304,0.90002,0.89981,0.72742,0.83424,0.79889,0.4236,1.50517,0.98284,1.12336,0.000674805,0.000674805,0.000674805
8,41.5428,1.21598,0.84688,0.91897,0.65391,0.84449,0.75005,0.36107,1.63709,1.00281,1.17697,0.000735914,0.000735914,0.000735914
9,46.4754,1.22919,0.93384,0.89574,0.74481,0.75029,0.79178,0.41569,1.646,1.06902,1.18646,0.000722044,0.000722044,0.000722044
10,51.5015,1.21997,0.88861,0.86875,0.75026,0.76289,0.78883,0.41628,1.57646,0.97608,1.14237,0.000708175,0.000708175,0.000708175
11,56.4514,1.225,0.92022,0.91159,0.73935,0.79745,0.78317,0.39738,1.57801,1.03775,1.1298,0.000694305,0.000694305,0.000694305
12,61.3805,1.2122,0.84382,0.88783,0.66249,0.86082,0.74272,0.3722,1.6978,1.02314,1.17651,0.000680436,0.000680436,0.000680436
13,66.3642,1.17296,0.80385,0.87251,0.57759,0.75695,0.66635,0.33553,1.68095,1.07713,1.15149,0.000666567,0.000666567,0.000666567
14,71.4951,1.13981,0.78891,0.87848,0.59672,0.77213,0.65259,0.3503,1.51957,1.01023,1.08731,0.000652697,0.000652697,0.000652697
15,76.4652,1.15816,0.79342,0.83789,0.64438,0.75284,0.69924,0.36611,1.54109,0.9967,1.10809,0.000638828,0.000638828,0.000638828
16,81.3711,1.19184,0.756,0.86797,0.62492,0.80545,0.72067,0.36025,1.62684,1.00488,1.16434,0.000624958,0.000624958,0.000624958
17,86.2711,1.12676,0.76835,0.85509,0.63397,0.82821,0.73637,0.39991,1.60603,0.9836,1.18797,0.000611089,0.000611089,0.000611089
18,91.12,1.12244,0.71296,0.86848,0.63944,0.81007,0.73556,0.40504,1.5689,0.91834,1.15647,0.000597219,0.000597219,0.000597219
19,96.0157,1.1103,0.7223,0.84699,0.61902,0.82308,0.72546,0.39818,1.51528,0.89953,1.09867,0.00058335,0.00058335,0.00058335
20,100.96,1.10523,0.68769,0.82171,0.64454,0.81195,0.71893,0.39346,1.52565,0.90595,1.10545,0.00056948,0.00056948,0.00056948
21,105.931,1.06934,0.69586,0.8212,0.65736,0.83936,0.7427,0.39482,1.50895,0.91069,1.10003,0.000555611,0.000555611,0.000555611
