epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.97832,1.89056,5.43951,1.62778,0.58931,0.12967,0.15276,0.07718,1.44097,3.80958,1.28701,9.996e-05,9.996e-05,9.996e-05
2,14.9547,1.37062,2.4759,1.22981,0.74884,0.5089,0.48563,0.25072,1.459,2.94917,1.26705,0.000206532,0.000206532,0.000206532
3,20.5121,1.27076,1.78949,1.14359,0.61483,0.57069,0.53741,0.32351,1.41427,2.215,1.27339,0.000311317,0.000311317,0.000311317
4,25.8838,1.22367,1.56815,1.15431,0.65794,0.65512,0.60819,0.36195,1.48849,2.68546,1.29923,0.000414315,0.000414315,0.000414315
5,31.2584,1.20263,1.48488,1.13812,0.75585,0.62058,0.62835,0.32844,1.4972,2.29847,1.35576,0.000515527,0.000515527,0.000515527
6,36.4865,1.18288,1.3505,1.15971,0.67352,0.62879,0.69764,0.3646,1.3019,1.76483,1.37357,0.000614952,0.000614952,0.000614952
7,41.7497,1.12913,1.34593,1.15777,0.57398,0.75871,0.69243,0.39645,1.16295,1.47751,1.28215,0.00071259,0.00071259,0.00071259
8,47.0159,1.19174,1.31688,1.18134,0.53482,0.7405,0.6614,0.34119,1.22735,1.74914,1.32226,0.000784894,0.000784894,0.000784894
9,52.3025,1.15653,1.37867,1.21886,0.56752,0.57392,0.62503,0.33886,1.29053,1.74314,1.32309,0.000778022,0.000778022,0.000778022
10,57.5922,1.16505,1.10798,1.11893,0.63417,0.6212,0.64821,0.33867,1.35838,1.65695,1.35796,0.00077115,0.00077115,0.00077115
11,62.9043,1.15264,1.13335,1.12091,0.58282,0.70267,0.6284,0.31837,1.35999,1.66777,1.37508,0.000764278,0.000764278,0.000764278
12,68.2276,1.15708,1.1286,1.117,0.72245,0.75192,0.76477,0.40773,1.30367,1.22207,1.36307,0.000757405,0.000757405,0.000757405
13,73.6034,1.12409,1.11991,1.15415,0.64333,0.78972,0.72148,0.38783,1.34469,1.14318,1.40281,0.000750533,0.000750533,0.000750533
14,78.912,1.13404,0.97211,1.10036,0.6743,0.83029,0.70368,0.40783,1.24493,1.09259,1.33687,0.000743661,0.000743661,0.000743661
15,84.3344,1.11878,0.94969,1.14551,0.59593,0.84507,0.67974,0.3786,1.29867,1.09485,1.36827,0.000736788,0.000736788,0.000736788
16,89.5814,1.08134,1.01792,1.13574,0.64996,0.78695,0.73005,0.41541,1.2198,1.19465,1.3402,0.000729916,0.000729916,0.000729916
17,94.9049,1.15387,1.06343,1.13981,0.69059,0.87506,0.76376,0.44047,1.20203,1.13932,1.34165,0.000723044,0.000723044,0.000723044
18,100.228,1.09918,0.93035,1.15446,0.71505,0.86332,0.81563,0.47346,1.22459,1.12949,1.36338,0.000716172,0.000716172,0.000716172
19,105.529,1.11847,0.95066,1.10932,0.71964,0.8142,0.7712,0.41019,1.34833,1.17105,1.4055,0.000709299,0.000709299,0.000709299
20,110.772,1.11176,0.92091,1.12202,0.66693,0.73955,0.72324,0.37546,1.40568,1.17866,1.45871,0.000702427,0.000702427,0.000702427
21,115.967,1.09538,0.86436,1.10015,0.62759,0.89256,0.74439,0.41879,1.28441,1.02888,1.42659,0.000695555,0.000695555,0.000695555
22,121.174,1.13705,0.86629,1.07377,0.64247,0.85497,0.73263,0.39961,1.22066,0.95298,1.31496,0.000688683,0.000688683,0.000688683
23,126.478,1.0461,0.79973,1.09853,0.60301,0.85611,0.73626,0.38078,1.27518,0.9818,1.32894,0.00068181,0.00068181,0.00068181
24,131.727,1.05796,0.82968,1.1194,0.60513,0.88526,0.79197,0.41082,1.29328,1.06686,1.35262,0.000674938,0.000674938,0.000674938
25,136.988,1.04014,0.80983,1.09896,0.61924,0.87336,0.72217,0.40654,1.29336,1.01423,1.33153,0.000668066,0.000668066,0.000668066
26,142.192,1.008,0.79443,1.07292,0.6058,0.83736,0.69825,0.36279,1.33568,1.04529,1.33899,0.000661194,0.000661194,0.000661194
27,147.421,1.04449,0.83457,1.09763,0.6218,0.81782,0.69241,0.37976,1.29732,1.05096,1.33281,0.000654321,0.000654321,0.000654321
28,152.668,1.01609,0.76842,1.06366,0.6472,0.86825,0.73702,0.39977,1.32524,1.04743,1.37696,0.000647449,0.000647449,0.000647449
29,157.925,1.02395,0.78991,1.08721,0.61424,0.8746,0.7359,0.40089,1.36066,1.05208,1.4146,0.000640577,0.000640577,0.000640577
30,163.182,1.00582,0.78837,1.07319,0.66153,0.75449,0.76112,0.39812,1.36493,1.0227,1.40434,0.000633705,0.000633705,0.000633705
31,168.489,1.02543,0.76301,1.06917,0.73712,0.78577,0.78474,0.42328,1.42895,1.00097,1.53036,0.000626832,0.000626832,0.000626832
32,173.758,1.00993,0.73533,1.10325,0.69652,0.83345,0.76357,0.39205,1.37707,0.98344,1.45263,0.00061996,0.00061996,0.00061996
33,179.019,1.0028,0.82739,1.13167,0.70932,0.82706,0.7544,0.41578,1.32543,1.00107,1.39453,0.000613088,0.000613088,0.000613088
34,184.349,0.96421,0.77914,1.09224,0.63616,0.82078,0.72067,0.37777,1.38387,1.03652,1.42082,0.000606216,0.000606216,0.000606216
35,189.644,0.96295,0.74177,1.04595,0.63448,0.89236,0.73665,0.39678,1.39515,1.03795,1.47401,0.000599343,0.000599343,0.000599343
36,194.969,0.97884,0.72037,1.05841,0.64954,0.80227,0.71158,0.37003,1.40364,1.12327,1.51468,0.000592471,0.000592471,0.000592471
37,200.292,1.00681,0.73303,1.06089,0.65624,0.87376,0.75512,0.39784,1.38256,1.09921,1.49081,0.000585599,0.000585599,0.000585599
38,205.683,0.98888,0.7041,1.03543,0.68518,0.87171,0.80465,0.40916,1.3406,1.01931,1.45873,0.000578727,0.000578727,0.000578727
39,211.067,0.91696,0.66312,0.99122,0.66072,0.87594,0.78659,0.38421,1.36043,1.05365,1.46955,0.000571854,0.000571854,0.000571854
40,216.381,0.99282,0.69584,1.04966,0.5774,0.79145,0.65112,0.32735,1.47191,1.1607,1.54262,0.000564982,0.000564982,0.000564982
41,221.798,0.98718,0.7181,1.06589,0.62557,0.84132,0.69683,0.36061,1.53388,1.15057,1.6349,0.00055811,0.00055811,0.00055811
42,227.264,0.91569,0.68078,1.07596,0.72,0.83108,0.79538,0.43635,1.31147,1.02003,1.48596,0.000551238,0.000551238,0.000551238
43,232.645,0.97134,0.70636,1.03028,0.73684,0.78505,0.80572,0.43075,1.27116,1.03482,1.42944,0.000544365,0.000544365,0.000544365
44,238.087,0.91205,0.63473,1.03871,0.66945,0.8545,0.78051,0.41298,1.27184,1.01736,1.40632,0.000537493,0.000537493,0.000537493
45,243.503,0.91284,0.67912,1.01082,0.6875,0.82406,0.77277,0.38517,1.34636,1.02962,1.44042,0.000530621,0.000530621,0.000530621
46,249.036,0.90033,0.65148,1.04453,0.66112,0.85165,0.78199,0.43036,1.35638,1.07795,1.43857,0.000523749,0.000523749,0.000523749
47,254.538,0.93296,0.64206,1.01336,0.72742,0.79592,0.79669,0.44442,1.34589,0.99093,1.45578,0.000516877,0.000516877,0.000516877
48,259.977,0.91869,0.65087,1.01263,0.60814,0.81102,0.67096,0.33541,1.47713,1.00957,1.5123,0.000510004,0.000510004,0.000510004
49,265.42,0.90479,0.66151,1.01398,0.62501,0.83113,0.67862,0.32864,1.47924,0.96453,1.54613,0.000503132,0.000503132,0.000503132
50,270.935,0.93735,0.63067,1.01986,0.64594,0.8274,0.72167,0.36615,1.40577,0.94972,1.51508,0.00049626,0.00049626,0.00049626
51,276.312,0.90982,0.64612,1.02887,0.66939,0.84518,0.74789,0.37477,1.41686,0.93905,1.5416,0.000489387,0.000489387,0.000489387
52,281.843,0.92903,0.68446,1.04217,0.64078,0.8379,0.71754,0.37181,1.49895,0.96071,1.6386,0.000482515,0.000482515,0.000482515
53,287.35,0.91925,0.64177,1.04081,0.60566,0.80259,0.66921,0.31764,1.53703,1.02787,1.60143,0.000475643,0.000475643,0.000475643
54,292.732,0.89618,0.64003,1.0283,0.63204,0.80375,0.69082,0.34463,1.45239,0.95738,1.55228,0.000468771,0.000468771,0.000468771
55,298.199,0.89962,0.66359,1.0174,0.6654,0.84112,0.73618,0.37591,1.37831,0.91757,1.49685,0.000461898,0.000461898,0.000461898
56,303.667,0.86821,0.61071,0.98553,0.69736,0.76344,0.74214,0.37956,1.41356,0.94417,1.53574,0.000455026,0.000455026,0.000455026
57,309.203,0.85412,0.59357,0.98956,0.66796,0.80778,0.71121,0.34278,1.5268,1.00567,1.63049,0.000448154,0.000448154,0.000448154
58,314.731,0.85694,0.58978,0.99192,0.72575,0.85381,0.78123,0.3915,1.58668,0.86432,1.77465,0.000441282,0.000441282,0.000441282
