epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84121,2.72406,8.88195,1.86645,0.03417,0.06701,0.01186,0.00264,1.97741,8.97962,1.39094,9.996e-05,9.996e-05,9.996e-05
2,6.07482,2.09125,4.25123,1.49144,0.61436,0.22335,0.17762,0.08717,1.59809,7.85321,1.21161,0.000205673,0.000205673,0.000205673
3,8.22404,1.769,2.9189,1.27674,0.63242,0.36137,0.39189,0.20837,1.69365,4.41397,1.23197,0.000308706,0.000308706,0.000308706
4,10.3403,1.87316,2.54702,1.27017,0.7612,0.33053,0.40318,0.22937,1.67445,4.43292,1.29612,0.000409058,0.000409058,0.000409058
5,12.7884,1.6057,2.17682,1.20753,0.68428,0.45789,0.50139,0.26411,1.73799,3.21137,1.37561,0.000506731,0.000506731,0.000506731
6,14.8167,1.55627,2.03309,1.20117,0.79118,0.53368,0.60681,0.31171,1.76744,2.45896,1.43358,0.000601723,0.000601723,0.000601723
7,16.6635,1.58993,1.89561,1.18432,0.66107,0.55574,0.60091,0.3155,1.80282,2.21353,1.47617,0.000694035,0.000694035,0.000694035
8,18.4751,1.60387,1.9678,1.20421,0.70424,0.49938,0.5815,0.30733,1.80029,2.05635,1.49811,0.000760841,0.000760841,0.000760841
9,20.1624,1.55292,1.93568,1.20776,0.72036,0.47497,0.55937,0.29295,1.69588,2.1525,1.42001,0.000750533,0.000750533,0.000750533
10,21.8283,1.46635,1.59094,1.15156,0.65899,0.51397,0.58805,0.31919,1.62846,2.18269,1.39169,0.000740225,0.000740225,0.000740225
11,23.4619,1.41318,1.60266,1.13156,0.74457,0.58743,0.64638,0.37326,1.6185,1.46148,1.39778,0.000729916,0.000729916,0.000729916
12,25.0937,1.47154,1.62363,1.1911,0.81924,0.6215,0.71323,0.39397,1.65734,1.38889,1.44487,0.000719608,0.000719608,0.000719608
13,26.7008,1.43683,1.48373,1.11643,0.73926,0.65576,0.68621,0.38494,1.6979,1.34841,1.46639,0.000709299,0.000709299,0.000709299
14,28.3805,1.37661,1.36363,1.13072,0.75333,0.62017,0.64509,0.37443,1.68227,1.56054,1.47839,0.000698991,0.000698991,0.000698991
15,30.0289,1.46588,1.55927,1.17411,0.71611,0.61325,0.65028,0.3701,1.69584,1.59683,1.4833,0.000688683,0.000688683,0.000688683
16,31.7365,1.4328,1.40251,1.15727,0.59551,0.61706,0.64157,0.37169,1.71385,1.55784,1.47775,0.000678374,0.000678374,0.000678374
17,33.3864,1.39565,1.42463,1.1299,0.64076,0.65332,0.69008,0.39388,1.6949,1.61151,1.48389,0.000668066,0.000668066,0.000668066
18,35.0597,1.42477,1.36126,1.152,0.66052,0.68151,0.71545,0.40306,1.64849,1.59545,1.462,0.000657758,0.000657758,0.000657758
19,36.7148,1.41281,1.31672,1.13496,0.59947,0.7284,0.71144,0.39402,1.68121,1.51344,1.48724,0.000647449,0.000647449,0.000647449
20,38.4024,1.42686,1.38029,1.15666,0.62773,0.77736,0.70452,0.40242,1.59132,1.27397,1.39587,0.000637141,0.000637141,0.000637141
21,40.0304,1.32803,1.24139,1.10524,0.63497,0.72735,0.69488,0.4154,1.57145,1.26792,1.40734,0.000626832,0.000626832,0.000626832
22,41.7086,1.32881,1.20075,1.07258,0.59403,0.70094,0.68012,0.39937,1.55943,1.27162,1.39693,0.000616524,0.000616524,0.000616524
23,43.349,1.34608,1.13094,1.05849,0.5808,0.65559,0.65619,0.37967,1.53924,1.28905,1.36679,0.000606216,0.000606216,0.000606216
24,44.9854,1.35473,1.23317,1.08806,0.69683,0.65184,0.66105,0.35777,1.56469,1.28428,1.3366,0.000595907,0.000595907,0.000595907
25,46.622,1.28092,1.12145,1.09297,0.74681,0.69215,0.67664,0.39238,1.52237,1.33364,1.32832,0.000585599,0.000585599,0.000585599
26,48.2799,1.35399,1.15836,1.07154,0.7395,0.72085,0.6998,0.40564,1.56888,1.31356,1.41009,0.000575291,0.000575291,0.000575291
27,50.0436,1.30133,1.09766,1.09892,0.64799,0.72884,0.71529,0.41537,1.59293,1.29268,1.45816,0.000564982,0.000564982,0.000564982
28,51.6163,1.33021,1.07721,1.08706,0.67211,0.71439,0.70529,0.3943,1.56507,1.27758,1.42036,0.000554674,0.000554674,0.000554674
29,53.2453,1.3083,1.09241,1.0536,0.58247,0.77395,0.69398,0.37782,1.58619,1.32062,1.41307,0.000544365,0.000544365,0.000544365
30,54.8383,1.2353,1.06365,1.04675,0.57257,0.75336,0.68815,0.38495,1.57497,1.35471,1.41342,0.000534057,0.000534057,0.000534057
31,56.4673,1.28462,1.0654,1.07571,0.71582,0.77042,0.78633,0.43892,1.53236,1.24498,1.37655,0.000523749,0.000523749,0.000523749
32,58.1534,1.34849,1.07877,1.07525,0.71214,0.80517,0.81148,0.45461,1.5047,1.18449,1.33926,0.00051344,0.00051344,0.00051344
33,59.8871,1.28749,1.00466,1.06242,0.7377,0.72736,0.77239,0.4291,1.51332,1.161,1.33288,0.000503132,0.000503132,0.000503132
34,61.5613,1.22264,1.02412,1.04424,0.67639,0.71043,0.72062,0.39439,1.56065,1.18971,1.34381,0.000492824,0.000492824,0.000492824
35,63.209,1.27914,1.05406,1.06766,0.61136,0.7198,0.67107,0.36013,1.64616,1.23247,1.39849,0.000482515,0.000482515,0.000482515
36,64.8407,1.31189,1.10365,1.0668,0.62952,0.79163,0.70466,0.39657,1.6953,1.25342,1.52348,0.000472207,0.000472207,0.000472207
37,66.4742,1.25924,1.03476,1.05313,0.68,0.76695,0.7141,0.41474,1.61408,1.17642,1.45276,0.000461898,0.000461898,0.000461898
38,68.1421,1.24648,0.94359,1.0249,0.7006,0.76592,0.75881,0.42729,1.55887,1.08964,1.3736,0.00045159,0.00045159,0.00045159
39,69.9191,1.20854,0.92125,1.02826,0.67573,0.77715,0.75157,0.41637,1.52452,1.04294,1.33455,0.000441282,0.000441282,0.000441282
40,71.5568,1.25396,1.00256,1.06738,0.67342,0.79206,0.73481,0.39855,1.53305,1.02962,1.33931,0.000430973,0.000430973,0.000430973
41,73.1809,1.23779,0.97139,1.04319,0.70112,0.79685,0.74921,0.40129,1.56813,1.04512,1.37515,0.000420665,0.000420665,0.000420665
42,74.8848,1.20284,0.94969,1.00486,0.66639,0.76071,0.71697,0.40835,1.67993,1.15716,1.55404,0.000410357,0.000410357,0.000410357
43,76.4742,1.22468,0.95448,1.03978,0.67587,0.72652,0.71494,0.40291,1.69309,1.23493,1.57195,0.000400048,0.000400048,0.000400048
44,78.2093,1.17864,0.93794,1.03425,0.68413,0.73359,0.7244,0.39508,1.6846,1.21444,1.53798,0.00038974,0.00038974,0.00038974
45,79.8361,1.1451,0.8814,1.01626,0.6312,0.8105,0.72614,0.38889,1.67388,1.1872,1.49966,0.000379431,0.000379431,0.000379431
46,81.4511,1.20325,0.91986,1.04903,0.65467,0.79051,0.73732,0.40247,1.62588,1.16182,1.45273,0.000369123,0.000369123,0.000369123
47,83.1488,1.2019,0.95014,1.02428,0.67139,0.81322,0.75813,0.44208,1.58488,1.13393,1.44441,0.000358815,0.000358815,0.000358815
48,84.8034,1.18061,0.9123,1.02432,0.7038,0.82641,0.77127,0.4419,1.57343,1.12728,1.44872,0.000348506,0.000348506,0.000348506
49,86.4951,1.1469,0.86711,1.02794,0.67414,0.79495,0.73114,0.42795,1.57617,1.10411,1.43207,0.000338198,0.000338198,0.000338198
