epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24195,2.18528,4.73395,1.39426,0.00155,0.01098,0.00156,0.0009,2.1407,4.24073,1.26337,7.497e-05,7.497e-05,7.497e-05
2,3.77396,1.7423,4.48657,1.21001,0.00539,0.02643,0.00341,0.00276,1.59096,4.22725,1.07614,0.000156703,0.000156703,0.000156703
3,5.38152,1.69644,4.0582,1.09096,0.00448,0.03285,0.00361,0.00232,1.73162,4.19691,1.10055,0.000236787,0.000236787,0.000236787
4,6.84288,1.62618,3.4354,1.08126,0.01191,0.12332,0.03088,0.01456,1.84917,4.05513,1.10905,0.000315221,0.000315221,0.000315221
5,8.2783,1.62379,3.15109,1.1211,0.02186,0.41172,0.14253,0.07399,1.56294,3.69354,1.02447,0.000392006,0.000392006,0.000392006
6,9.73736,1.60743,2.92571,1.03612,0.59106,0.19497,0.20167,0.10891,1.56693,3.40426,1.028,0.000467142,0.000467142,0.000467142
7,11.149,1.51452,2.56313,1.05485,0.59509,0.23507,0.22477,0.11676,1.57337,3.26697,1.03128,0.000540629,0.000540629,0.000540629
8,12.5361,1.55267,2.25703,1.04282,0.90304,0.11222,0.31703,0.17172,1.50046,3.01281,1.0313,0.000612466,0.000612466,0.000612466
9,13.9017,1.57389,2.2714,1.06933,0.75677,0.11935,0.31812,0.18612,1.46409,2.98459,1.03228,0.000682653,0.000682653,0.000682653
10,15.3064,1.44509,2.11571,1.04473,0.79281,0.18098,0.34692,0.17719,1.50321,2.82067,1.07401,0.000751192,0.000751192,0.000751192
11,16.8934,1.54313,2.09086,1.0254,0.8476,0.30985,0.45054,0.23446,1.47531,2.52208,1.08133,0.000750533,0.000750533,0.000750533
12,18.2883,1.45963,1.88078,1.01384,0.81131,0.38846,0.48759,0.25341,1.50403,2.29756,1.0941,0.000742286,0.000742286,0.000742286
13,19.6725,1.46477,1.88709,1.0482,0.69034,0.39637,0.43165,0.21905,1.59363,2.14631,1.11745,0.00073404,0.00073404,0.00073404
14,21.0511,1.44984,2.08638,1.04151,0.70515,0.41413,0.44678,0.21375,1.60872,1.94576,1.12482,0.000725793,0.000725793,0.000725793
15,22.4159,1.34041,1.63342,1.03983,0.79774,0.47673,0.50473,0.27537,1.46837,1.78486,1.0834,0.000717546,0.000717546,0.000717546
16,23.8521,1.45375,1.72622,1.05532,0.79514,0.49895,0.51084,0.27654,1.48532,1.76058,1.08399,0.000709299,0.000709299,0.000709299
17,25.2469,1.4015,1.67939,1.03238,0.80221,0.54041,0.53346,0.26941,1.55245,1.69707,1.10671,0.000701053,0.000701053,0.000701053
18,26.6494,1.33958,1.51441,1.04656,0.70784,0.56403,0.56462,0.29679,1.50245,1.5732,1.09556,0.000692806,0.000692806,0.000692806
19,28.0759,1.37762,1.5457,1.00056,0.71486,0.56816,0.58438,0.30349,1.49062,1.50194,1.08825,0.000684559,0.000684559,0.000684559
20,29.6225,1.35229,1.55479,1.01554,0.67459,0.53899,0.56364,0.29894,1.49095,1.50277,1.07551,0.000676313,0.000676313,0.000676313
21,31.0266,1.3313,1.51723,1.00547,0.67384,0.54056,0.55685,0.30225,1.50526,1.4943,1.07153,0.000668066,0.000668066,0.000668066
22,32.4032,1.31692,1.46265,0.99645,0.71535,0.63374,0.60728,0.33991,1.43806,1.36093,1.06188,0.000659819,0.000659819,0.000659819
23,33.7819,1.32343,1.42881,1.01144,0.71565,0.62082,0.60185,0.3383,1.4359,1.33767,1.06823,0.000651573,0.000651573,0.000651573
24,35.1554,1.33662,1.39742,0.97948,0.67531,0.59433,0.59582,0.32429,1.50693,1.35754,1.0995,0.000643326,0.000643326,0.000643326
25,36.4713,1.25386,1.38598,1.05121,0.69017,0.59849,0.6082,0.30472,1.59934,1.40846,1.12817,0.000635079,0.000635079,0.000635079
26,37.9623,1.3232,1.38066,0.99554,0.72749,0.60083,0.63823,0.35653,1.46104,1.34366,1.08859,0.000626832,0.000626832,0.000626832
27,39.3313,1.26786,1.29746,0.978,0.77005,0.65467,0.68388,0.38808,1.39699,1.26663,1.07535,0.000618586,0.000618586,0.000618586
28,40.8398,1.27145,1.29596,0.98313,0.76429,0.68512,0.69337,0.37657,1.41735,1.24565,1.08394,0.000610339,0.000610339,0.000610339
29,42.2048,1.22399,1.32633,0.99988,0.76338,0.66937,0.67619,0.36545,1.43793,1.2487,1.0796,0.000602092,0.000602092,0.000602092
30,43.5911,1.26618,1.31274,0.98705,0.78667,0.66922,0.66209,0.37933,1.36821,1.30576,1.04752,0.000593846,0.000593846,0.000593846
31,45.0132,1.24974,1.26821,0.96064,0.78472,0.66374,0.66198,0.37353,1.36241,1.29234,1.0527,0.000585599,0.000585599,0.000585599
32,46.4544,1.25463,1.31896,0.98361,0.77304,0.66691,0.65762,0.35352,1.41624,1.29718,1.0714,0.000577352,0.000577352,0.000577352
33,47.8576,1.18715,1.27642,0.9724,0.7616,0.66545,0.67361,0.35601,1.41672,1.27069,1.06737,0.000569106,0.000569106,0.000569106
34,49.283,1.27002,1.38861,1.00957,0.75658,0.6612,0.65903,0.35569,1.3939,1.29831,1.04543,0.000560859,0.000560859,0.000560859
35,50.6325,1.24006,1.29731,0.96716,0.74203,0.63752,0.63678,0.35294,1.37614,1.2771,1.03544,0.000552612,0.000552612,0.000552612
36,52.038,1.24684,1.22668,0.97201,0.70034,0.61494,0.61775,0.33528,1.42411,1.3051,1.05036,0.000544365,0.000544365,0.000544365
37,53.5844,1.19367,1.23266,0.98455,0.68447,0.64318,0.62504,0.32476,1.47349,1.31322,1.07062,0.000536119,0.000536119,0.000536119
38,54.9955,1.19267,1.1813,0.97188,0.77975,0.65897,0.68552,0.37396,1.40324,1.20537,1.0594,0.000527872,0.000527872,0.000527872
39,56.4218,1.17771,1.19685,0.97948,0.77557,0.63976,0.68094,0.37087,1.42946,1.1919,1.0687,0.000519625,0.000519625,0.000519625
40,57.798,1.14711,1.18086,0.96692,0.73219,0.70984,0.68828,0.36712,1.43167,1.17795,1.07142,0.000511379,0.000511379,0.000511379
41,59.1322,1.16246,1.2037,0.95959,0.76123,0.6821,0.69968,0.38301,1.39502,1.14563,1.0617,0.000503132,0.000503132,0.000503132
42,60.5629,1.15695,1.15605,0.95198,0.71898,0.7084,0.66517,0.34622,1.45341,1.19514,1.08136,0.000494885,0.000494885,0.000494885
43,61.8888,1.19835,1.20395,0.95803,0.72529,0.6836,0.68113,0.34767,1.45001,1.18041,1.07801,0.000486639,0.000486639,0.000486639
44,63.2886,1.21291,1.14583,0.94018,0.79171,0.64292,0.67395,0.34317,1.47595,1.17892,1.08685,0.000478392,0.000478392,0.000478392
45,64.7407,1.18183,1.10558,0.93456,0.78781,0.65412,0.66596,0.33365,1.51805,1.20163,1.0993,0.000470145,0.000470145,0.000470145
46,66.318,1.15444,1.07644,0.9261,0.74402,0.71136,0.66594,0.34224,1.464,1.16457,1.07549,0.000461898,0.000461898,0.000461898
47,67.7608,1.12223,1.09364,0.95079,0.60604,0.67566,0.68034,0.36071,1.40222,1.15108,1.06511,0.000453652,0.000453652,0.000453652
48,69.2038,1.21985,1.15104,0.9491,0.61396,0.68704,0.68678,0.37404,1.36046,1.14304,1.0536,0.000445405,0.000445405,0.000445405
49,70.6612,1.12963,1.1361,0.94856,0.56719,0.69918,0.66316,0.35492,1.4108,1.16704,1.06476,0.000437158,0.000437158,0.000437158
50,72.1206,1.19869,1.20105,0.95591,0.55025,0.66806,0.63484,0.3058,1.59269,1.21809,1.12424,0.000428912,0.000428912,0.000428912
51,73.6934,1.15665,1.10042,0.9574,0.5641,0.64673,0.6318,0.30573,1.6055,1.20664,1.13238,0.000420665,0.000420665,0.000420665
52,75.1075,1.15506,1.06951,0.95013,0.62627,0.65404,0.6609,0.33285,1.54578,1.1592,1.11015,0.000412418,0.000412418,0.000412418
53,76.4962,1.16848,1.07597,0.96399,0.64276,0.65893,0.68574,0.34825,1.492,1.14291,1.09343,0.000404172,0.000404172,0.000404172
54,77.8804,1.09024,1.08334,0.94384,0.57172,0.67025,0.62001,0.29986,1.6093,1.23071,1.13717,0.000395925,0.000395925,0.000395925
55,79.3858,1.18097,1.08536,0.93797,0.58466,0.70079,0.61932,0.28796,1.6709,1.25991,1.16395,0.000387678,0.000387678,0.000387678
56,80.7941,1.11316,1.09218,0.95007,0.56792,0.69339,0.63679,0.31033,1.61032,1.21866,1.14289,0.000379431,0.000379431,0.000379431
57,82.2205,1.09442,1.0184,0.93317,0.61191,0.71475,0.68595,0.33899,1.51639,1.14648,1.10504,0.000371185,0.000371185,0.000371185
58,83.7104,1.07015,0.97675,0.93881,0.78587,0.71944,0.76104,0.39843,1.39682,1.08418,1.07803,0.000362938,0.000362938,0.000362938
59,85.2152,1.13639,1.04806,0.93493,0.68901,0.65521,0.72028,0.37549,1.48337,1.10563,1.10761,0.000354691,0.000354691,0.000354691
60,86.6523,1.08516,1.05303,0.91863,0.68078,0.63061,0.70115,0.3462,1.55443,1.11742,1.12515,0.000346445,0.000346445,0.000346445
61,88.1135,1.06802,1.03646,0.941,0.63002,0.66108,0.67865,0.32751,1.60209,1.15734,1.13716,0.000338198,0.000338198,0.000338198
62,89.5244,1.0752,0.98531,0.93059,0.72181,0.71485,0.72796,0.37871,1.41925,1.06428,1.08466,0.000329951,0.000329951,0.000329951
63,91.0285,1.12824,1.03683,0.9376,0.80793,0.71483,0.7703,0.40855,1.36631,1.03068,1.07733,0.000321705,0.000321705,0.000321705
64,92.4242,1.0938,1.02076,0.94072,0.74279,0.72641,0.77122,0.39725,1.41431,1.05496,1.10118,0.000313458,0.000313458,0.000313458
65,93.7772,1.08652,0.99163,0.91069,0.77454,0.70489,0.76197,0.36744,1.51801,1.11015,1.14065,0.000305211,0.000305211,0.000305211
66,95.1966,1.10201,0.9799,0.91738,0.60917,0.77353,0.7138,0.34395,1.5836,1.15286,1.16631,0.000296964,0.000296964,0.000296964
67,96.592,1.08906,1.01136,0.9542,0.77304,0.76063,0.78138,0.38069,1.49299,1.08843,1.14263,0.000288718,0.000288718,0.000288718
68,97.9412,1.06106,0.92326,0.9319,0.7709,0.78711,0.80058,0.40989,1.45137,1.06643,1.13436,0.000280471,0.000280471,0.000280471
69,99.2892,1.12164,0.96629,0.92439,0.80138,0.77322,0.79567,0.41305,1.42585,1.06443,1.1194,0.000272224,0.000272224,0.000272224
70,100.665,1.11914,1.0006,0.9141,0.66005,0.67133,0.69397,0.34021,1.54546,1.1518,1.14444,0.000263978,0.000263978,0.000263978
71,102.041,1.06383,0.99077,0.93038,0.6119,0.69826,0.68538,0.32113,1.60362,1.16363,1.1568,0.000255731,0.000255731,0.000255731
72,103.362,1.08363,0.9922,0.93707,0.63916,0.69774,0.68276,0.32113,1.59925,1.1452,1.15569,0.000247484,0.000247484,0.000247484
73,104.709,0.99979,0.97197,0.93279,0.64379,0.71019,0.70343,0.33253,1.5955,1.12233,1.17241,0.000239238,0.000239238,0.000239238
74,106.26,1.06536,0.95392,0.9203,0.6844,0.71749,0.73707,0.36839,1.50222,1.0565,1.14978,0.000230991,0.000230991,0.000230991
75,107.61,1.04444,0.96874,0.91365,0.72341,0.72979,0.7736,0.38112,1.48251,1.03813,1.15009,0.000222744,0.000222744,0.000222744
76,108.979,1.14511,0.976,0.93792,0.69635,0.71282,0.75167,0.37815,1.48637,1.04035,1.14323,0.000214497,0.000214497,0.000214497
77,110.365,1.08462,0.94343,0.91913,0.69557,0.71007,0.73888,0.36256,1.52379,1.06394,1.14913,0.000206251,0.000206251,0.000206251
78,111.72,1.07421,0.93226,0.91495,0.62995,0.75564,0.73564,0.35128,1.55942,1.09984,1.16503,0.000198004,0.000198004,0.000198004
79,113.069,1.04424,0.94438,0.93584,0.69486,0.70639,0.73862,0.36282,1.53459,1.08224,1.15927,0.000189757,0.000189757,0.000189757
80,114.393,1.03152,0.93039,0.92426,0.69345,0.74117,0.76142,0.38266,1.48099,1.04766,1.14675,0.000181511,0.000181511,0.000181511
81,115.775,1.01803,0.90744,0.93765,0.6958,0.77666,0.78,0.38871,1.4738,1.04291,1.15743,0.000173264,0.000173264,0.000173264
82,117.124,0.96495,0.91404,0.90705,0.62059,0.70511,0.71827,0.33686,1.58772,1.12942,1.1945,0.000165017,0.000165017,0.000165017
83,118.465,0.97782,0.88488,0.91258,0.56968,0.73177,0.66997,0.32434,1.62311,1.16039,1.19736,0.000156771,0.000156771,0.000156771
84,119.946,1.03406,0.90176,0.90886,0.56705,0.75894,0.66416,0.32198,1.6187,1.161,1.18305,0.000148524,0.000148524,0.000148524
85,121.388,1.01397,0.89823,0.90744,0.57248,0.76032,0.65421,0.32807,1.5847,1.14137,1.15947,0.000140277,0.000140277,0.000140277
86,122.713,1.00245,0.8918,0.90821,0.7327,0.67166,0.74164,0.36899,1.50543,1.07771,1.13667,0.000132031,0.000132031,0.000132031
87,124.074,0.98626,0.93161,0.9033,0.65986,0.75165,0.74724,0.3739,1.50124,1.0698,1.13915,0.000123784,0.000123784,0.000123784
88,125.617,0.99194,0.87818,0.90481,0.69787,0.6996,0.74356,0.36675,1.53607,1.08619,1.16526,0.000115537,0.000115537,0.000115537
89,127.101,1.01411,0.89643,0.91746,0.67877,0.68958,0.72014,0.34829,1.58227,1.10699,1.18759,0.00010729,0.00010729,0.00010729
