epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63964,1.10644,1.14703,0.85382,0.70491,0.85115,0.79879,0.47591,1.34109,1.34706,1.02398,9.996e-05,9.996e-05,9.996e-05
2,11.6123,1.26402,1.16541,0.8497,0.6662,0.82281,0.76092,0.42651,1.51333,1.38585,1.14079,0.000205941,0.000205941,0.000205941
3,16.4258,1.20803,1.1867,0.8867,0.69546,0.82183,0.77651,0.43764,1.52595,1.24116,1.09892,0.00030952,0.00030952,0.00030952
4,21.0766,1.18602,1.15917,0.83678,0.64384,0.84661,0.76881,0.41285,1.49371,1.26452,1.09932,0.000410697,0.000410697,0.000410697
5,25.7869,1.1974,1.2484,0.87825,0.63062,0.86006,0.75912,0.42361,1.48623,1.29643,1.0899,0.000509473,0.000509473,0.000509473
6,30.5581,1.24307,1.19623,0.87591,0.61643,0.88225,0.76213,0.41301,1.42501,1.42201,1.05135,0.000605847,0.000605847,0.000605847
7,35.2859,1.21554,1.19652,0.8987,0.6471,0.8371,0.71169,0.38412,1.42756,1.40666,1.0459,0.00069982,0.00069982,0.00069982
8,39.9884,1.21936,1.13009,0.918,0.60633,0.78804,0.65443,0.34043,1.54693,1.55134,1.07943,0.000768341,0.000768341,0.000768341
9,44.6862,1.23938,1.19762,0.90275,0.62435,0.78859,0.72882,0.4228,1.63865,1.41791,1.20395,0.000759104,0.000759104,0.000759104
10,49.4824,1.28986,1.21196,0.89081,0.70333,0.81707,0.77382,0.41277,1.56602,1.51217,1.10863,0.000749867,0.000749867,0.000749867
11,54.2489,1.22398,1.21102,0.89826,0.65255,0.80739,0.73834,0.37848,1.53164,1.61636,1.05138,0.00074063,0.00074063,0.00074063
12,59.0502,1.22874,1.11569,0.89468,0.62706,0.8466,0.71878,0.36647,1.52928,1.5402,1.05008,0.000731393,0.000731393,0.000731393
13,63.8175,1.14816,1.05501,0.85081,0.66454,0.76816,0.71196,0.37196,1.52373,1.47164,1.0522,0.000722155,0.000722155,0.000722155
14,68.638,1.1832,1.09097,0.87972,0.63849,0.8364,0.71811,0.37518,1.5887,1.57495,1.08129,0.000712918,0.000712918,0.000712918
15,73.3796,1.15384,1.03825,0.83552,0.64876,0.77416,0.69873,0.36291,1.54744,1.57787,1.07443,0.000703681,0.000703681,0.000703681
16,78.1229,1.18101,1.0423,0.86374,0.66459,0.7879,0.7126,0.37141,1.52689,1.47777,1.08937,0.000694444,0.000694444,0.000694444
17,82.8244,1.13397,1.04841,0.86556,0.69302,0.81167,0.7697,0.40319,1.46282,1.53536,1.09323,0.000685207,0.000685207,0.000685207
18,87.5843,1.18358,1.048,0.88893,0.72175,0.79357,0.78599,0.40387,1.48861,1.53219,1.10315,0.00067597,0.00067597,0.00067597
19,92.3814,1.14438,1.0043,0.84937,0.67357,0.81736,0.75357,0.38069,1.5266,1.45294,1.09397,0.000666733,0.000666733,0.000666733
20,97.1682,1.12204,0.93564,0.82173,0.65991,0.89235,0.74063,0.39805,1.50287,1.34708,1.09797,0.000657496,0.000657496,0.000657496
21,101.904,1.07072,0.94782,0.81332,0.67203,0.90706,0.73451,0.40013,1.48071,1.32602,1.08743,0.000648259,0.000648259,0.000648259
22,106.687,1.15233,1.00798,0.87258,0.67845,0.91712,0.75811,0.41491,1.49815,1.28913,1.10628,0.000639022,0.000639022,0.000639022
23,111.384,1.14354,0.97582,0.86047,0.6925,0.92005,0.79205,0.41828,1.53337,1.30433,1.12544,0.000629785,0.000629785,0.000629785
24,116.384,1.12683,0.97941,0.84153,0.66951,0.92012,0.76977,0.37289,1.59702,1.34745,1.13863,0.000620548,0.000620548,0.000620548
25,121.234,1.06847,0.94944,0.83755,0.68553,0.86193,0.75294,0.38168,1.58636,1.34309,1.14723,0.000611311,0.000611311,0.000611311
26,125.929,1.07579,0.89269,0.81899,0.66849,0.88701,0.75485,0.38286,1.59019,1.42123,1.15104,0.000602074,0.000602074,0.000602074
27,130.628,1.12588,0.93566,0.83343,0.65532,0.84377,0.73226,0.3953,1.68357,1.64624,1.27791,0.000592837,0.000592837,0.000592837
28,135.419,1.15282,0.93191,0.84867,0.66785,0.88424,0.73523,0.37733,1.66413,1.57823,1.20638,0.0005836,0.0005836,0.0005836
29,140.214,1.07531,0.87318,0.82845,0.66143,0.86985,0.73502,0.36649,1.67285,1.55563,1.20188,0.000574363,0.000574363,0.000574363
30,144.951,1.09638,0.90085,0.80166,0.68092,0.90568,0.78775,0.41655,1.54071,1.41355,1.13945,0.000565126,0.000565126,0.000565126
31,149.72,1.05752,0.89423,0.84613,0.72169,0.88438,0.82375,0.4735,1.45987,1.37271,1.10502,0.000555889,0.000555889,0.000555889
32,154.468,1.03225,0.91728,0.8406,0.6795,0.85378,0.78414,0.44132,1.48809,1.47469,1.11613,0.000546652,0.000546652,0.000546652
33,159.24,1.05687,0.87691,0.84758,0.65049,0.86727,0.75569,0.41765,1.50671,1.55003,1.12269,0.000537415,0.000537415,0.000537415
34,164.021,1.06831,0.89432,0.80914,0.67111,0.89149,0.75774,0.41999,1.45926,1.37114,1.09781,0.000528178,0.000528178,0.000528178
35,168.926,1.10507,0.95931,0.8867,0.67786,0.90535,0.73075,0.38527,1.52436,1.3538,1.11876,0.00051894,0.00051894,0.00051894
36,173.755,1.02214,0.84319,0.80585,0.70908,0.90507,0.76233,0.39971,1.64546,1.55781,1.22479,0.000509703,0.000509703,0.000509703
37,178.542,1.07792,0.912,0.83583,0.75746,0.87132,0.81124,0.46174,1.64845,1.56665,1.27678,0.000500466,0.000500466,0.000500466
38,183.391,1.08342,0.84946,0.83478,0.77007,0.88517,0.8128,0.46469,1.62553,1.51173,1.26244,0.000491229,0.000491229,0.000491229
39,188.262,1.04189,0.88243,0.77932,0.72224,0.84949,0.79799,0.419,1.62086,1.43623,1.25072,0.000481992,0.000481992,0.000481992
40,193.207,1.0149,0.84929,0.80298,0.6717,0.78575,0.75456,0.38711,1.64515,1.4109,1.28449,0.000472755,0.000472755,0.000472755
41,198.138,1.0268,0.86104,0.82364,0.65783,0.82158,0.75413,0.40911,1.61926,1.34984,1.30143,0.000463518,0.000463518,0.000463518
42,202.946,1.0238,0.82897,0.78952,0.65532,0.84394,0.7783,0.42943,1.63766,1.32938,1.34488,0.000454281,0.000454281,0.000454281
43,207.68,1.02281,0.83386,0.82625,0.67512,0.89255,0.77923,0.38804,1.702,1.32924,1.34798,0.000445044,0.000445044,0.000445044
44,212.478,1.01696,0.7994,0.79513,0.6396,0.83776,0.74717,0.35384,1.75933,1.25125,1.31623,0.000435807,0.000435807,0.000435807
45,217.3,0.97814,0.76648,0.77185,0.65972,0.83728,0.74524,0.34802,1.7569,1.19277,1.29746,0.00042657,0.00042657,0.00042657
46,222.131,0.98957,0.79144,0.77852,0.65057,0.82932,0.74788,0.36566,1.72032,1.1856,1.28569,0.000417333,0.000417333,0.000417333
47,227.074,0.99193,0.79565,0.7921,0.71636,0.78421,0.78276,0.39656,1.70544,1.20651,1.28775,0.000408096,0.000408096,0.000408096
48,231.855,0.96185,0.77751,0.77455,0.67745,0.86257,0.75477,0.38193,1.68669,1.23294,1.2647,0.000398859,0.000398859,0.000398859
49,236.691,0.93416,0.77331,0.78704,0.68517,0.86698,0.74979,0.37377,1.62317,1.18527,1.23793,0.000389622,0.000389622,0.000389622
