epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,204.008,0.79464,1.31668,0.68709,0.84191,0.85414,0.88432,0.49147,1.11108,1.82461,0.93999,0.000264239,0.000264239,0.000264239
43,208.959,0.86343,1.4767,0.68575,0.81023,0.85108,0.8827,0.48099,1.14349,1.84761,0.95467,0.000250366,0.000250366,0.000250366
44,213.833,0.84575,1.51436,0.71502,0.71405,0.84094,0.82136,0.43022,1.19676,1.94758,0.9652,0.000236494,0.000236494,0.000236494
45,218.725,0.83294,1.42493,0.66572,0.6683,0.87272,0.77868,0.36923,1.28945,2.03992,1.00581,0.000222622,0.000222622,0.000222622
46,223.599,0.82918,1.45461,0.68252,0.62836,0.83218,0.7341,0.33811,1.34909,2.05955,1.04627,0.00020875,0.00020875,0.00020875
47,228.592,0.80595,1.40619,0.68681,0.66963,0.86981,0.76999,0.37557,1.32395,2.04583,1.06661,0.000194878,0.000194878,0.000194878
48,233.549,0.81253,1.40872,0.68628,0.67547,0.86459,0.78626,0.39771,1.29297,2.01434,1.06192,0.000181005,0.000181005,0.000181005
49,238.474,0.80862,1.35419,0.68189,0.68364,0.85041,0.79502,0.4002,1.27735,2.0145,1.0462,0.000167133,0.000167133,0.000167133
50,243.511,0.82107,1.3725,0.67407,0.69137,0.87862,0.80376,0.37779,1.2922,1.98291,1.03704,0.000153261,0.000153261,0.000153261
51,284.448,0.7213,1.16631,0.65754,0.65726,0.84752,0.76241,0.33999,1.33226,1.94749,1.0487,0.000139389,0.000139389,0.000139389
52,289.232,0.70991,1.16243,0.66001,0.6275,0.80357,0.73157,0.32368,1.36081,1.91835,1.07363,0.000125516,0.000125516,0.000125516
53,294.025,0.71994,1.14933,0.67627,0.65569,0.87379,0.75407,0.35349,1.32952,1.91461,1.05016,0.000111644,0.000111644,0.000111644
54,298.838,0.70184,1.12192,0.63474,0.65766,0.8709,0.7684,0.38253,1.31818,1.94791,1.04577,9.7772e-05,9.7772e-05,9.7772e-05
55,303.664,0.71798,1.13677,0.66477,0.65931,0.84787,0.77805,0.38999,1.31736,1.98146,1.04691,8.38998e-05,8.38998e-05,8.38998e-05
56,308.632,0.7151,1.10128,0.63951,0.66787,0.8756,0.78431,0.3959,1.30506,2.0006,1.04246,7.00275e-05,7.00275e-05,7.00275e-05
57,313.452,0.68611,1.11424,0.63968,0.69724,0.83907,0.7873,0.39496,1.29567,2.02598,1.03498,5.61553e-05,5.61553e-05,5.61553e-05
58,318.369,0.6743,1.10266,0.64716,0.69876,0.79751,0.7783,0.38279,1.3039,2.0499,1.03392,4.22831e-05,4.22831e-05,4.22831e-05
59,323.235,0.69424,1.07396,0.62882,0.71946,0.79519,0.77325,0.37913,1.30498,2.05517,1.03432,2.84109e-05,2.84109e-05,2.84109e-05
60,328.189,0.66063,1.03468,0.62916,0.71802,0.79595,0.77497,0.37724,1.30407,2.04908,1.0333,1.45386e-05,1.45386e-05,1.45386e-05
