epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.1317,1.11554,1.1748,0.97399,0.75616,0.797,0.79055,0.40866,1.42455,1.30452,1.22754,0.000551238,0.000551238,0.000551238
43,74.7031,1.09066,1.08862,0.95678,0.78165,0.80069,0.79983,0.4026,1.35945,1.26222,1.19421,0.000544365,0.000544365,0.000544365
44,76.323,1.13844,1.19163,1.03211,0.74747,0.81931,0.79346,0.42124,1.38651,1.25898,1.24466,0.000537493,0.000537493,0.000537493
45,77.9557,1.12271,1.08677,0.97499,0.74278,0.81299,0.78685,0.41691,1.43748,1.27446,1.31043,0.000530621,0.000530621,0.000530621
46,79.5141,1.12784,1.20004,0.98524,0.67126,0.80691,0.71352,0.3757,1.53894,1.33821,1.37884,0.000523749,0.000523749,0.000523749
47,81.2015,1.1887,1.15993,0.97263,0.6385,0.79119,0.68736,0.38532,1.52326,1.52799,1.36598,0.000516877,0.000516877,0.000516877
48,82.8284,1.15378,1.12942,0.96438,0.72293,0.76484,0.73809,0.39543,1.55508,1.50807,1.36771,0.000510004,0.000510004,0.000510004
49,84.5612,1.14506,1.12364,0.95769,0.6939,0.77322,0.72489,0.36844,1.46046,1.27348,1.22835,0.000503132,0.000503132,0.000503132
50,86.1229,1.06388,1.11403,0.96849,0.67148,0.76968,0.70703,0.36484,1.42736,1.22281,1.19652,0.00049626,0.00049626,0.00049626
51,87.6826,1.10452,1.10242,0.95566,0.62888,0.7475,0.66871,0.3329,1.39039,1.27093,1.18516,0.000489387,0.000489387,0.000489387
52,89.3008,1.12794,1.08521,0.97888,0.60908,0.76582,0.6695,0.32685,1.39436,1.37896,1.21129,0.000482515,0.000482515,0.000482515
53,90.8904,1.12353,1.10867,0.96528,0.55964,0.72604,0.63874,0.30519,1.4539,1.46274,1.23707,0.000475643,0.000475643,0.000475643
54,92.5112,1.06281,1.07685,0.96901,0.52977,0.68514,0.59628,0.27159,1.42977,1.53128,1.23664,0.000468771,0.000468771,0.000468771
55,94.0778,1.06857,0.9913,0.94783,0.51842,0.66725,0.5692,0.25032,1.42987,1.5223,1.24109,0.000461898,0.000461898,0.000461898
56,95.641,1.03765,1.10252,0.96848,0.56779,0.71181,0.61523,0.26385,1.43194,1.51608,1.22848,0.000455026,0.000455026,0.000455026
57,97.2861,1.03356,1.02813,0.95948,0.69099,0.77355,0.72598,0.36191,1.37735,1.5324,1.20805,0.000448154,0.000448154,0.000448154
58,98.998,1.0475,1.02124,0.93858,0.71017,0.77812,0.74285,0.37328,1.41018,1.45201,1.23545,0.000441282,0.000441282,0.000441282
59,100.596,1.04219,1.05456,0.9675,0.70559,0.82064,0.76275,0.38376,1.46206,1.34158,1.26295,0.000434409,0.000434409,0.000434409
60,102.193,1.09182,1.04107,0.97706,0.7459,0.81286,0.79671,0.4232,1.42166,1.24633,1.24762,0.000427537,0.000427537,0.000427537
61,103.821,1.02312,1.00622,0.92832,0.76529,0.83883,0.83883,0.45531,1.35994,1.22252,1.21603,0.000420665,0.000420665,0.000420665
62,105.444,1.10972,1.06483,0.9629,0.71939,0.86328,0.83175,0.43212,1.33698,1.20014,1.1926,0.000413793,0.000413793,0.000413793
63,107.024,1.04568,0.95153,0.94145,0.72728,0.83652,0.84475,0.44175,1.35958,1.211,1.2124,0.00040692,0.00040692,0.00040692
64,108.648,1.03436,0.98292,0.97055,0.70031,0.84231,0.80591,0.42316,1.37946,1.23598,1.2539,0.000400048,0.000400048,0.000400048
65,110.23,1.0329,0.97501,0.94297,0.66607,0.76574,0.72769,0.35919,1.37479,1.22002,1.23953,0.000393176,0.000393176,0.000393176
66,111.827,1.00973,0.98918,0.94532,0.60376,0.75906,0.66974,0.32228,1.37368,1.17734,1.23984,0.000386304,0.000386304,0.000386304
67,113.661,1.09757,1.02297,0.9646,0.67804,0.81052,0.72515,0.34701,1.34634,1.11728,1.22282,0.000379431,0.000379431,0.000379431
68,115.315,0.99926,0.94631,0.94274,0.674,0.81853,0.74896,0.35507,1.37475,1.09289,1.2238,0.000372559,0.000372559,0.000372559
69,116.923,1.04146,0.93765,0.95779,0.65828,0.79986,0.73853,0.33203,1.43727,1.11855,1.23366,0.000365687,0.000365687,0.000365687
70,118.463,1.00856,0.96866,0.95888,0.65046,0.77376,0.73166,0.3471,1.4485,1.10108,1.24418,0.000358815,0.000358815,0.000358815
71,120.088,1.05752,1.01143,0.94027,0.71033,0.75454,0.73986,0.36331,1.44729,1.13291,1.25491,0.000351942,0.000351942,0.000351942
72,121.76,1.0114,0.9443,0.93956,0.71055,0.79892,0.78032,0.39712,1.41222,1.18816,1.26472,0.00034507,0.00034507,0.00034507
73,123.344,1.03889,0.95077,0.93024,0.67717,0.80025,0.73905,0.35271,1.41335,1.25031,1.26828,0.000338198,0.000338198,0.000338198
74,124.981,0.99474,0.8908,0.93897,0.71115,0.82726,0.77836,0.3926,1.43343,1.32079,1.29458,0.000331326,0.000331326,0.000331326
75,126.527,1.01921,0.9507,0.93987,0.74487,0.82953,0.81386,0.42415,1.4406,1.35158,1.32999,0.000324453,0.000324453,0.000324453
76,128.194,0.92265,0.90317,0.92625,0.74809,0.83801,0.81097,0.42854,1.42478,1.2978,1.30538,0.000317581,0.000317581,0.000317581
77,129.795,1.04189,0.92231,0.92549,0.62962,0.78539,0.69044,0.33856,1.43448,1.17981,1.26344,0.000310709,0.000310709,0.000310709
78,131.341,0.99249,0.94064,0.94059,0.61028,0.76351,0.67786,0.31884,1.49554,1.21062,1.29374,0.000303837,0.000303837,0.000303837
79,132.952,0.97502,0.89533,0.91554,0.66332,0.81547,0.75313,0.3704,1.59517,1.23138,1.39868,0.000296964,0.000296964,0.000296964
80,134.553,0.99807,0.95075,0.92835,0.68301,0.82892,0.77109,0.39519,1.60299,1.26079,1.45281,0.000290092,0.000290092,0.000290092
81,136.091,1.04337,0.90403,0.93398,0.75394,0.79345,0.7902,0.41549,1.62377,1.19751,1.48114,0.00028322,0.00028322,0.00028322
82,137.674,0.9541,0.87844,0.90895,0.6491,0.75026,0.69784,0.34276,1.56199,1.18794,1.36445,0.000276348,0.000276348,0.000276348
83,139.24,0.94203,0.87772,0.92728,0.65237,0.73477,0.67834,0.3268,1.51157,1.18835,1.33149,0.000269475,0.000269475,0.000269475
84,140.863,1.00382,0.89204,0.94056,0.70553,0.78182,0.72778,0.36519,1.46966,1.13008,1.33414,0.000262603,0.000262603,0.000262603
85,142.506,0.96792,0.88204,0.93037,0.72522,0.84318,0.79249,0.39917,1.56762,1.18869,1.44245,0.000255731,0.000255731,0.000255731
86,144.052,0.96599,0.88679,0.92657,0.77558,0.79826,0.81461,0.41779,1.64254,1.30368,1.55146,0.000248859,0.000248859,0.000248859
87,145.646,0.95466,0.91546,0.92926,0.64996,0.78783,0.72913,0.36102,1.64531,1.44056,1.50166,0.000241986,0.000241986,0.000241986
88,147.185,0.94594,0.91424,0.93253,0.60729,0.73642,0.67495,0.32754,1.68306,1.33652,1.47054,0.000235114,0.000235114,0.000235114
89,148.832,0.99852,0.9121,0.95192,0.62763,0.76836,0.69229,0.34384,1.62031,1.24112,1.39964,0.000228242,0.000228242,0.000228242
90,150.378,0.963,0.87945,0.90898,0.65299,0.81494,0.75182,0.36629,1.59975,1.20854,1.38377,0.00022137,0.00022137,0.00022137
91,151.951,0.93084,0.86628,0.92695,0.7054,0.77454,0.77607,0.3859,1.57591,1.16724,1.35981,0.000214497,0.000214497,0.000214497
92,153.74,0.9386,0.83047,0.91747,0.68562,0.82068,0.76559,0.38657,1.63028,1.20647,1.42526,0.000207625,0.000207625,0.000207625
93,155.333,0.9169,0.84699,0.91469,0.68163,0.81663,0.75531,0.36285,1.64758,1.27856,1.45039,0.000200753,0.000200753,0.000200753
94,156.951,0.99194,0.85589,0.90621,0.6815,0.74352,0.70481,0.33029,1.68097,1.28809,1.45512,0.000193881,0.000193881,0.000193881
95,158.496,1.0028,0.95903,0.9291,0.67867,0.74215,0.71052,0.34525,1.67082,1.29738,1.45417,0.000187008,0.000187008,0.000187008
96,160.091,0.96027,0.83234,0.90573,0.70422,0.7888,0.74876,0.35975,1.68936,1.28893,1.481,0.000180136,0.000180136,0.000180136
97,161.676,0.94415,0.9584,0.93013,0.66296,0.76747,0.71379,0.36031,1.72334,1.26136,1.51165,0.000173264,0.000173264,0.000173264
98,163.272,0.92576,0.84473,0.91797,0.65024,0.77928,0.70233,0.35225,1.73721,1.25499,1.51437,0.000166392,0.000166392,0.000166392
99,164.846,0.89176,0.85969,0.90949,0.66567,0.75669,0.72654,0.34394,1.74131,1.24156,1.51936,0.00015952,0.00015952,0.00015952
100,166.378,0.89562,0.8449,0.92521,0.65561,0.75328,0.70991,0.34456,1.78796,1.21682,1.55494,0.000152647,0.000152647,0.000152647
101,168.223,0.91231,0.87915,0.91178,0.69025,0.70936,0.70432,0.34105,1.77696,1.1929,1.55123,0.000145775,0.000145775,0.000145775
102,169.803,0.87981,0.8326,0.91753,0.6488,0.77571,0.71874,0.34429,1.67031,1.13444,1.44984,0.000138903,0.000138903,0.000138903
103,171.388,0.9747,0.82778,0.91318,0.6708,0.76517,0.7192,0.34084,1.64861,1.08691,1.43479,0.000132031,0.000132031,0.000132031
104,172.953,0.88461,0.78888,0.90347,0.67433,0.78569,0.72759,0.33576,1.6397,1.067,1.43453,0.000125158,0.000125158,0.000125158
105,174.564,0.91863,0.7992,0.90439,0.6778,0.79444,0.73704,0.3427,1.65004,1.05199,1.43771,0.000118286,0.000118286,0.000118286
106,176.164,0.88346,0.78045,0.90824,0.66872,0.78094,0.7443,0.34236,1.65787,1.08869,1.45501,0.000111414,0.000111414,0.000111414
107,177.746,0.88588,0.76989,0.8918,0.66623,0.78006,0.73582,0.35242,1.67836,1.10334,1.48818,0.000104542,0.000104542,0.000104542
108,179.329,0.95526,0.80731,0.89669,0.67994,0.76652,0.72916,0.35789,1.64552,1.09007,1.47441,9.76692e-05,9.76692e-05,9.76692e-05
109,181.088,0.89569,0.77402,0.90715,0.68196,0.75909,0.72491,0.34087,1.65055,1.06323,1.47839,9.0797e-05,9.0797e-05,9.0797e-05
110,182.602,0.86698,0.80843,0.92781,0.68419,0.76497,0.7335,0.33511,1.65673,1.08198,1.49074,8.39248e-05,8.39248e-05,8.39248e-05
111,200.969,0.92833,0.84186,0.90772,0.68193,0.77427,0.72867,0.33075,1.66163,1.0962,1.49526,7.70525e-05,7.70525e-05,7.70525e-05
112,202.61,0.85073,0.81739,0.89107,0.67004,0.75839,0.71913,0.33304,1.69478,1.12741,1.52662,7.01802e-05,7.01802e-05,7.01802e-05
113,204.171,0.84779,0.77682,0.8973,0.67138,0.77229,0.72915,0.34058,1.70907,1.13624,1.53719,6.3308e-05,6.3308e-05,6.3308e-05
114,205.738,0.79487,0.76531,0.88278,0.69545,0.77962,0.73871,0.34217,1.71253,1.13853,1.53944,5.64358e-05,5.64358e-05,5.64358e-05
115,207.268,0.85187,0.85136,0.91456,0.69217,0.77769,0.7377,0.33679,1.70995,1.13219,1.5337,4.95635e-05,4.95635e-05,4.95635e-05
116,208.8,0.87174,0.82244,0.90585,0.69076,0.77984,0.73775,0.33182,1.71757,1.12524,1.53748,4.26912e-05,4.26912e-05,4.26912e-05
117,210.341,0.86033,0.80978,0.91202,0.67676,0.75473,0.72829,0.32488,1.74235,1.12857,1.55157,3.5819e-05,3.5819e-05,3.5819e-05
118,212.009,0.84684,0.77417,0.89625,0.67589,0.73447,0.71758,0.32213,1.74055,1.12888,1.55104,2.89468e-05,2.89468e-05,2.89468e-05
119,213.554,0.82388,0.76181,0.89924,0.68121,0.73747,0.71229,0.32405,1.74708,1.08339,1.55416,2.20745e-05,2.20745e-05,2.20745e-05
120,215.085,0.82299,0.82451,0.89799,0.68212,0.74218,0.72031,0.32685,1.73748,1.07158,1.54582,1.52022e-05,1.52022e-05,1.52022e-05
